Nr.,Question,Category,SubCategory,Field Key
1,Travel style: adventure, relaxation, culture, or mix?,Travel,Travel Persona,travel_persona 
2,Trip vibe: social & busy or quiet & peaceful?,Travel,Vibe,preferred_vibe
3,How many trips per year?,Travel,Frequency,trip_frequency
4,Travel companions: solo, partner, family, friends?,Travel,Companions,travel_companions
5,Main reason for traveling?,Travel,Motivations,core_motivations
6,Deal-breakers when traveling?,Travel,Avoidances,avoid_on_trips
7,Favorite destinations?,Travel,Regions,favorite_regions_or_countries
8,Preferred climate/weather?,Travel,Climate,preferred_climate
9,Landscape preference: beach, mountains, city, countryside?,Travel,Landscapes,preferred_landscapes
10,Cities or nature?,Travel,Urban vs Nature,urban_vs_nature_preference
11,Cultural interests when traveling?,Travel,Culture,cultural_interests
12,Languages you speak?,Travel,Languages,language_comfort_zones
13,Accommodation: hotels, Airbnb, hostels, camping?,Travel,Accommodation Types,preferred_types
14,Accommodation comfort level: budget, standard, luxury?,Travel,Comfort Level,comfort_level
15,Accommodation style preference?,Travel,Style,style_keywords
16,Must-have amenities?,Travel,Amenities,amenities_priority
17,Favorite hotel brands?,Travel,Hotels,favorite_hotels_or_brands
18,Typical stay duration per location?,Travel,Stay Duration,stay_duration_pattern
19,Transport preference: plane, train, car, bus?,Travel,Transport,preferred_modes
20,Preferred airlines or train companies?,Travel,Transport Brands,airline_or_train_loyalty
21,Seat preference: window, aisle, doesn't matter?,Travel,Seating,seat_preference
22,Packing style: light or heavy?,Travel,Baggage,baggage_habits
23,Do you rent cars?,Travel,Car Rental,car_rental_preference
24,How important is sustainable travel?,Travel,Sustainability,sustainability_priority
25,Dietary needs when traveling?,Travel,Dietary,dietary_considerations
26,Favorite cuisines?,Travel,Cuisines,favorite_cuisines
27,Coffee preference?,Travel,Coffee,coffee_habits
28,Restaurant type: fine dining, casual, street food?,Travel,Restaurants,restaurant_type_preference
29,Try local food or stick to familiar?,Travel,Food Openness,local_food_openness
30,Foods you avoid?,Travel,Food Avoidances,avoid_foods
31,Typical trip budget?,Travel,Budget,average_budget_per_trip
32,Budget flexibility: strict or flexible?,Travel,Budget Flexibility,budget_flexibility
33,Where do you splurge when traveling?,Travel,Splurge,splurge_categories
34,Where do you save when traveling?,Travel,Savings,saving_preferences
35,What's good value in travel?,Travel,Value,value_definition
36,Payment method: cash, card, mobile?,Travel,Payment,preferred_payment_method
37,Planning: detailed plans or spontaneous?,Travel,Planning,planning_style
38,How far in advance do you book?,Travel,Booking Window,booking_window
39,How do you discover destinations?,Travel,Discovery,trip_discovery_channels
40,Trusted travel sources?,Travel,Trust,trust_sources
41,Ideal trip length?,Travel,Trip Length,trip_length_preference
42,Spontaneity level: planned or go-with-flow?,Travel,Spontaneity,spontaneity_level
43,What feeling do you want from travel?,Travel,Feelings,feelings_sought_on_trip
44,One word for your perfect trip?,Travel,Perfect Trip,perfect_trip_description
45,Best trip you've taken?,Travel,Best Trip,most_memorable_trip
46,Worst travel experience?,Travel,Worst Trip,worst_trip_pain_points
47,What stresses you when traveling?,Travel,Stress,stress_triggers_when_traveling
48,How do you feel after trips?,Travel,Post-Trip,post_trip_feelings
49,Style in 3 words?,Shopping,Style,style_words
50,Colors you wear most?,Shopping,Colors,dominant_colors
51,Preferred materials/fabrics?,Shopping,Materials,preferred_materials
52,Materials or patterns you avoid?,Shopping,Avoidances,avoided_textures_patterns
53,Design qualities you look for?,Shopping,Design,attractive_design_qualities
54,Brands that feel like you?,Shopping,Brand Identity,product_feels_like_me
55,Style inspirations?,Shopping,Inspirations,visual_references
56,Clothing sizes (tops/bottoms/shoes)?,Shopping,Sizes,sizes
57,Fit preference: tight, fitted, regular, loose, oversized?,Shopping,Fit,preferred_fit
58,Brands that fit you well?,Shopping,Brand Fit,brands_fit_well
59,Comfort must-haves?,Shopping,Comfort,comfort_features
60,Cuts or shapes you avoid?,Shopping,Cuts,cuts_shapes_to_avoid
61,Fabric sensitivities?,Shopping,Sensitivities,sensitivity_notes
62,Main use: work, casual, sports, formal?,Shopping,Use Cases,main_use_cases
63,How often do you buy clothes?,Shopping,Purchase Frequency,purchase_frequency_by_use_case
64,Functional must-haves?,Shopping,Functional,key_functional_traits
65,Current wardrobe brands?,Shopping,Existing,existing_ecosystem
66,How often upgrade tech/gear?,Shopping,Tech Upgrade,tech_upgrade_cadence
67,How do you discover products?,Shopping,Discovery,discovery_channels
68,Values-aligned brands?,Shopping,Values,value_aligned_brands
69,Brand stories that resonate?,Shopping,Brand Stories,appealing_brand_stories
70,Practices/materials you avoid?,Shopping,Avoidances,avoid_practices_materials
71,Importance of local/ethical: high, medium, low?,Shopping,Ethics,local_ethic_priority
72,Support small/new brands?,Shopping,Emerging Brands,prioritize_emerging_brands
73,Important certifications?,Shopping,Certifications,preferred_certifications
74,Budget for everyday clothes?,Shopping,Budget Clothing,price_range_everyday_clothing
75,Budget for shoes?,Shopping,Budget Shoes,price_range_shoes
76,Budget for tech?,Shopping,Budget Tech,price_range_tech
77,Quality or quantity?,Shopping,Quality vs Quantity,quality_vs_quantity
78,What makes something worth the price?,Shopping,Worth It,worth_it_criteria
79,Where do you live (city)?,Shopping,Location,primary_location
80,Typical weather?,Shopping,Weather,typical_weather
81,Travel frequency?,Shopping,Travel,travel_habits
82,Daily routine?,Shopping,Rhythm,daily_rhythm
83,Environmental factors affecting clothing?,Shopping,Environment,environmental_constraints
84,Lifestyle (active, sedentary, mixed)?,Shopping,Lifestyle,lifestyle_habits
85,Shopping: quick decisions or research?,Shopping,Decision Style,decision_style
86,How many options do you compare?,Shopping,Comparison,typical_comparison_set_size
87,Curated selection or wide choice?,Shopping,Curation,curation_preference
88,Return frequency?,Shopping,Returns,return_rate_sentiment
89,What triggers a purchase?,Shopping,Triggers,purchase_triggers
90,How much do reviews matter?,Shopping,Reviews,review_influence_level
91,Online or in-store?,Shopping,Shopping Mode,shopping_mode_preference
92,How should shopping feel?,Shopping,Emotions,desired_purchase_emotions
93,Story or function priority?,Shopping,Story vs Function,story_vs_function_bias
94,Packaging preferences?,Shopping,Packaging,packaging_preferences
95,Best purchase ever?,Shopping,Memorable Purchase,most_memorable_purchase
96,Common purchase regrets?,Shopping,Regrets,most_common_regret
97,What makes a perfect purchase?,Shopping,Perfect Buy,perfect_buy_definition
