Nr.,Question,Answer Type,Answer Options,Main Category,SubCategory,SubCategory Key
1,What is your favorite food?,Freitext,Freitext,Nutrition,Preferences,nutrition_preferences
2,What kind of foods do you enjoy eating most?,Freitext,,Nutrition,Preferences,nutrition_preferences
3,"Do you have any dietary preferences (vegetarian, vegan, omnivore, etc.)?",Freitext,,Nutrition,Diet,nutrition_diet
4,Are there any foods you avoid or are allergic to?,Freitext,,Nutrition,Restrictions,nutrition_restrictions
5,How important is nutrition in your daily life?,Freitext,,Nutrition,Diet,nutrition_diet
6,"Do you like to cook, or do you prefer dining out?",Freitext,,Nutrition,Cooking,nutrition_cooking
7,What's your go-to meal when you want something quick and healthy?,Freitext,,Nutrition,Diet,nutrition_diet
8,"Do you try to follow any specific nutritional principles (like low-carb, Mediterranean diet, intermittent fasting)?",Freitext,,Nutrition,Diet,nutrition_diet
9,Is there a favorite dish or snack from your childhood you still love?,Freitext,,Nutrition,Preferences,nutrition_preferences
10,How do you balance treats and healthy foods?,Freitext,,Nutrition,Diet,nutrition_diet
11,Do you track your nutrition or calories in any way?,Freitext,,Nutrition,Diet,nutrition_diet
12,Is there a nutritional tip that works well for you?,Freitext,,Nutrition,Diet,nutrition_diet
13,Are there any supplements or vitamins you take regularly?,Freitext,,Nutrition,Restrictions,nutrition_restrictions
14,Do you have any favorite local restaurants or cuisines?,Freitext,,Nutrition,EatingOut,nutrition_eatingout
15,What's your opinion on organic or bio foods?,Freitext,,Nutrition,Preferences,nutrition_preferences
16,How do you stay hydrated throughout the day?,Freitext,,Nutrition,Diet,nutrition_diet
17,What's your favorite drink?,Freitext,,Nutrition,Preferences,nutrition_preferences
18,Is there a beverage you couldn't live without?,Freitext,,Nutrition,Preferences,nutrition_preferences
19,"Do you prefer coffee, tea, or something else?",Freitext,,Nutrition,Preferences,nutrition_preferences
20,"Are you a fan of smoothies, juices, or sodas?",Freitext,,Nutrition,Preferences,nutrition_preferences
21,Do you have a favorite drink to start your day?,Freitext,,Nutrition,Preferences,nutrition_preferences
22,"If you could have any drink right now, what would it be?",Freitext,,Nutrition,Preferences,nutrition_preferences
23,Do you like to try new drinks or stick with your usual favorites?,Freitext,,Nutrition,Preferences,nutrition_preferences
24,Is there a special drink that reminds you of a place or memory?,Freitext,,Nutrition,Preferences,nutrition_preferences
25,Do you enjoy making your own drinks at home?,Freitext,,Nutrition,Cooking,nutrition_cooking
26,How would you describe your fashion style?,Freitext,,Fashion,Style,fashion_style
27,Do you have a favorite brand or designer?,Freitext,,Fashion,Brands,fashion_brands
28,What's your go-to outfit for feeling confident?,Freitext,,Fashion,Style,fashion_style
29,How do you decide what to wear each day?,Freitext,,Fashion,Style,fashion_style
30,Is there a piece of clothing you couldn't live without?,Freitext,,Fashion,Style,fashion_style
31,Are you more into comfort or cutting-edge trends?,Freitext,,Fashion,Trends,fashion_trends
32,Do you enjoy shopping for clothes or find it stressful?,Freitext,,Fashion,Trends,fashion_trends
33,"Who influences your fashion choices most (friends, celebrities, culture)?",Freitext,,Fashion,Trends,fashion_trends
34,What's your favorite color to wear?,Freitext,,Fashion,Colors,fashion_colors
35,Do you prefer dressing up or keeping it casual?,Freitext,,Fashion,Style,fashion_style
36,Is there a fashion trend you love—or one you just don't get?,Freitext,,Fashion,Trends,fashion_trends
37,Have you ever completely changed your style?,Freitext,,Fashion,Style,fashion_style
38,Do you follow seasonal trends or stick with timeless basics?,Freitext,,Fashion,Trends,fashion_trends
39,What's the best fashion advice you've ever gotten?,Freitext,,Fashion,Style,fashion_style
40,"If you could swap wardrobes with anyone for a day, who would it be?",Freitext,,Fashion,Style,fashion_style
41,Where are you originally from?,Freitext,,Identity,Origin,identity_origin
42,What languages do you speak?,Freitext,,Identity,Language,identity_language
43,How would you describe yourself in three words?,Freitext,,Identity,SelfImage,identity_selfimage
44,What's something about your background that shaped who you are today?,Freitext,,Identity,Background,identity_background
45,Is there a cultural tradition you value?,Freitext,,Identity,Background,identity_background
46,What personality trait do you value most in yourself?,Freitext,,Personality,Traits,personality_traits
47,What's your biggest strength?,Freitext,,Personality,Strengths,personality_strengths
48,Is there a weakness you're actively working on?,Freitext,,Personality,Weaknesses,personality_weaknesses
49,How do you typically react under pressure?,Freitext,,Personality,Behavior,personality_behavior
50,What motivates you most in life?,Freitext,,Personality,Motivation,personality_motivation
51,How do you approach challenges?,Freitext,,Mindset,Attitude,mindset_attitude
52,Do you see yourself as an optimist or realist?,Freitext,,Mindset,Perspective,mindset_perspective
53,How do you bounce back from setbacks?,Freitext,,Mindset,Resilience,mindset_resilience
54,What topics are you most curious about?,Freitext,,Mindset,Curiosity,mindset_curiosity
55,Do you believe in continuous learning and growth?,Freitext,,Mindset,Growth,mindset_growth
56,What values are most important to you?,Freitext,,Values,Ethics,values_ethics
57,How do you prioritize decisions in your life?,Freitext,,Values,Priorities,values_priorities
58,Is there a belief you hold strongly?,Freitext,,Values,Beliefs,values_beliefs
59,How important is integrity to you?,Freitext,,Values,Integrity,values_integrity
60,What gives your life purpose?,Freitext,,Values,Purpose,values_purpose
61,What does your morning routine look like?,Freitext,,Habits,Morning,habits_morning
62,How do you wind down in the evening?,Freitext,,Habits,Evening,habits_evening
63,How much screen time do you have daily?,Freitext,,Habits,Digital,habits_digital
64,What daily habit supports your health?,Freitext,,Habits,Health,habits_health
65,Do you have any productivity habits or rituals?,Freitext,,Habits,Productivity,habits_productivity
