number,question,answer
1,"Wenn du an Momente denkst, die dich gepragt haben — welcher hallt bis heute in deinen Entscheidungen nach?",Die Koaatnips in ger USA mit meinerft vater.
2,Was hast du auf diesen Roadtrips Uber dich selbst gelernt?,"AGVEE Achtung: Spielanderung. 250 Fragen wie Lieblingsessen oder ahnlichem Level, um mich als Person kennenzulernen. Denke an ein First Date oder ahnliches Perfekt — also eher leicht, neugierig, sympathisch-persénlich. Keine Psychologie-Session, sondern ein gutes Gesprach, bei dem man sich wirklich kennenlernt. Ich fang einfach an: Frace 1: wie seit 1Ur Gierrein'perenter ouimay aus: Tatsachlich einfach nur auf der Couch mit meiner Frau chillen. Ein bisschen Netflix gucken oder irgendeine etwas auf einer anderen Serienplattform."
2,Wenn du dir jetzt sofort etwas zu essen bestellen kénntest — was ware es?,"AbV4L6 Konkret, das Song fallt mir tatséichlich nicht ein, aber wahrscheinlich ware es irgendwas elektronisches in die Richtung EDM oder so. Jetzt, der immer auf und ab geht, bisschen ruhiger, dann schén Bass ballern und diese so eine Achterbahnfahrt ist mein Leben auch gerade."
4,"Wenn du spontan ein Wochenende irgendwo verbringen kénntest - Stadt, Natur oder Meer?","AbVLS Vv Also, ich liebe Natur, vor allem die Berge. Das wiirde ich wahrscheinlich am ehesten wahlen, wenn man einfach irgendwie schnell mal irgendwohin will. Zum Beispiel nach Garmisch, wo wir ja eine Wohnung haben. Ansonsten, wenn ich komplett frei ware, dann wiirde ich wahrscheinlich New York City dorthin fliegen, ja."
5,"Was ist das Erste, das du im Urlaub immer machst, sobald du angekommen bist?","Im Hotel, in einem Apartment oder in einer Unterkunft. Das allererste, we J, ir immer machen, sind Fotos von der Unterlunft fiir meine Familie. So eine Tradition, eher Ritual, was wir uns"
6,"Was darf in deinem Koffer nie fehlen, egal wohin du reist?",Ladekabel
7,"Welches Getrank bestellst du fast automatisch, ohne gro® nachzudenken? AbV4LE","Ah, Cola Zero. AghWdDAS iPhone messages, WhatsApp, Spotify"
9,"Was bringt dich fast immer zum Lachen, egal wie deine Stimmung ist?","Wenn mal ein kleiner Doggo mal wieder durchdreht und witzige Sachen macht. rraye 1"" FuBball spielen!"
11,Welchen Duft verbindest du sofort mit Zuhause?,"AbGVESE Massage$l. Weil meine Mutter Massagetherapeutin war, deswegen raucht bei uns alles nach Massagedl. r Hintergrundgerausche, Fernseher, Radio, irgendeine Serie oder so. Stille mag ich nicht so gern."
13,"Welche Jahreszeit fiihlt sich fiir dich am meisten nach ,,du"" an?",AbV4AES Sommer Welche Sprache wirdest du gerne flieBend sprechen konnen? O@bV4LE Thai
15,Was ist dein absolutes Lieblingsfriihstiick — wenn du dir richtig Zeit dafiir nimmst?,"AbVLS Irgendwas mit Eiern, Bacon, Kartoffeln, Ketchup und einem schénen Espresso dazu."
16,AQb6RV4E,"Ah, eine Baseball-Kappe."
17,Welche Eigenschaft schatzen andere besonders an dir?,"4LS Ich schatze mal, dass ich jedem eine Chance gebe und bereit bin, auch einen gewissen Vertrauensvorschuss zu geben."
18,w,O94! An jeden Ort der Welt reisen zu konnen in einer Sekunde oder weniger.
19,Welches Reiseziel steht aktuell ganz oben auf deiner Liste?,"AGVEE Das nachste Reiseziel ist Dubai. Ich wiirde aber gerne auch mal wieder in die USA fliegen, vielleicht auch Kanada. Das nachste gros.“ .eiseziel ist Australien. Irgendwann in den nachsten 1 bis 2 oder vielleicht 3 Jahren. Hon beteae oo"
20,"Gibt es ein Gericht, das du immer bestellst, wenn du unsicher bist, was du nehmen sollst?","Schnitzel, Pizza, oder irgendwas mit Pommes?"
21,Welches Gerausch magst du besonders gern?,"AbGV4ESE Da fallt mir keins ein. rrage 22>"" . i. ° ‘ Was ist das erste, was du morgens machst, sobald du wach bist? AbV4ES Glas Wasser trinken."
23,Wie trinkst du deinen Kaffee am liebsten?,"ObV4LE Auf jeden Fall morgens als Americano. Ich mache mir meinen Kaffee selber in einer meiner Siebtragermaschinen. Ab mittags gerne auch mal ein Flat White J, Hause mit laktosefreier Milch. Wenn ich unterwegs bin, mit Hafermilch. Zwischendurch oder nach dem Essen"
24,"Was war das letzte Buch, das du wirklich gern gelesen hast?","Das neueste Buch von Dan Brown. ""The Secret of Secrets"", erschienen in 2025."
25,Welche Eigenschaft an anderen Menschen kannst du gar nicht leiden?,Cehnantan tind ninhte dahintar
26,Wenn du dich selbst in drei Worten beschreiben misstest - welche waren das?,AbVLS Ambitioniert. Neugierig. Empathisch.
27,Was ist dein absolutes Lieblingskleidungssttick im Sommer?,"Kurze Hose. riage 28"" 7 - 0 “ Hund"
29,"Was ist etwas, das du dir jeden Tag vornimmst — aber nicht immer schaffst?","AGV4EE Aktuell sport. Gerne mehr sport machen. Ansonsten versuche einmal taglich, zumindest wenn ich zu Hause bin, ein Flat White zu machen, um eine Koffeear ,, ills zu ben oder Latteart-Skills."
30,"Welchen Film kannst du immer wieder schauen, ohne dass er langweilig wird?",AGVEE Jeder Harry Potter Film.
33,"Welches Land wiirdest du sofort auswandern, wenn du miisstest?","Schwierig. Am liebsten wide ich in den USA leben, das hat aber nicht unbedingt variige: Von daher entweder Japan oder Australien. rrage Sib ° * Welche App oder Website benutzt du am meisten, ohne es wirklich zu merken? Spotify, wahrscheinlich"
35,Was ist dein liebster Wochentag - und warum genau der?,"AQb6VLE Freitag. Da klingt die Woche aus. Man freut sich auf die freien Tage am Wochenende. Und meistens sind das auch die Tage, wo ich noch ein paar Sachen y hen kann, fiir die ich hinter der Woche keine Zeit habe."
36,Welche kleine Alltagsfreude hebt dir sofort die Stimmung?,"AQb6VEE Ein guter Espresso, wenn mein Hund wieder durchdreht? Wenn meine Frau wieder einen sehr unwitzigen Witz macht, iiber den wir beide lachen miissen? Guter Energydrink oder irgendeine andere Limonade? Und digital sind es viele kleine Sachen, die mich faszinieren und mich freuen, wenn ich zum Beispiel jetzt hier mit Wispr Flow einfach in das Handy sprechen kann und er fast eins zu eins versteht, was ich sage"
37,Welche Stadt hat dich bisher am meisten beeindruckt?,"Ue ND rite ak New York City ist meine absolute Lieblingsstadt. Ich war da schon 10 Mal. Die hért nicht auf mich zu beeindrucken. Abseits davon hat mich vor allem Tokio unfassbar beeindruckt in diesem Jahr. Ich wei8 nicht, 40 Millionen Menschen auf einen Mal und trotzdem lauft das alles so schén im Flow. Das kann man sich hier in Deutschland nur wuinschen."
