Nr,Question,Main Category,Field Name
1,"What is your favorite type of travel (adventure, sightseeing, beach, relaxation, culture, ...)?","TRAVEL","travel_persona"
2,"Do you prefer trips that are social and busy, or quiet and peaceful?","TRAVEL","preferred_vibe"
3,"How many trips do you take per year?","TRAVEL","trip_frequency"
4,"Who do you usually travel with (solo, partner, family, friends)?","TRAVEL","travel_companions"
5,"What is the main reason you travel?","TRAVEL","core_motivations"
6,"What are absolute deal-breakers for you when traveling?","TRAVEL","avoid_on_trips"
7,"What are your favorite travel destinations or regions?","TRAVEL","favorite_regions_or_countries"
8,"What climate or weather do you prefer when traveling?","TRAVEL","preferred_climate"
9,"What type of landscape do you prefer (beach, mountains, city, countryside)?","TRAVEL","preferred_landscapes"
10,"Do you prefer visiting cities or being in nature?","TRAVEL","urban_vs_nature_preference"
11,"What cultural interests do you have when traveling?","TRAVEL","cultural_interests"
12,"What languages do you speak?","TRAVEL","language_comfort_zones"
13,"What destinations are on your travel bucket list?","TRAVEL","travel_bucket_list"
14,"What type of accommodation do you prefer (hotels, Airbnb, hostels, camping)?","TRAVEL","preferred_types"
15,"What comfort level do you prefer for accommodation (budget, standard, luxury)?","TRAVEL","comfort_level"
16,"How would you describe your accommodation style preference?","TRAVEL","style_keywords"
17,"What are must-have amenities for you in accommodation?","TRAVEL","amenities_priority"
18,"Do you have favorite hotel brands or chains?","TRAVEL","favorite_hotels_or_brands"
19,"How long do you typically stay in one location?","TRAVEL","stay_duration_pattern"
20,"What is your preferred mode of transport (plane, train, car, bus)?","TRAVEL","preferred_modes"
21,"Do you have preferred airlines or train companies?","TRAVEL","airline_or_train_loyalty"
22,"What is your seat preference (window, aisle, doesn\'t matter)?","TRAVEL","seat_preference"
23,"How do you pack (light or heavy)?","TRAVEL","baggage_habits"
24,"Do you usually rent cars when traveling?","TRAVEL","car_rental_preference"
25,"How important is sustainable travel to you?","TRAVEL","sustainability_priority"
26,"Do you have any dietary needs or restrictions when traveling?","TRAVEL","dietary_considerations"
27,"What are your favorite cuisines?","TRAVEL","favorite_cuisines"
28,"What is your coffee preference?","TRAVEL","coffee_habits"
29,"What type of restaurants do you prefer (fine dining, casual, street food)?","TRAVEL","restaurant_type_preference"
30,"Do you like to try local food or stick to familiar options?","TRAVEL","local_food_openness"
31,"Are there foods you avoid when traveling?","TRAVEL","avoid_foods"
32,"What is your typical budget per trip?","TRAVEL","average_budget_per_trip"
33,"How flexible is your travel budget (strict or flexible)?","TRAVEL","budget_flexibility"
34,"What do you like to splurge on when traveling?","TRAVEL","splurge_categories"
35,"Where do you save money when traveling?","TRAVEL","saving_preferences"
36,"What does good value mean to you in travel?","TRAVEL","value_definition"
37,"What is your preferred payment method (cash, card, mobile)?","TRAVEL","preferred_payment_method"
38,"Do you prefer detailed planning or spontaneous travel?","TRAVEL","planning_style"
39,"How far in advance do you usually book your trips?","TRAVEL","booking_window"
40,"How do you discover new travel destinations?","TRAVEL","trip_discovery_channels"
41,"What are your most trusted travel information sources?","TRAVEL","trust_sources"
42,"What is your ideal trip length?","TRAVEL","trip_length_preference"
43,"How spontaneous are you when traveling (planned itinerary or go-with-the-flow)?","TRAVEL","spontaneity_level"
44,"What feeling do you want to experience from travel?","TRAVEL","feelings_sought_on_trip"
45,"If you could describe your perfect trip in one word, what would it be?","TRAVEL","perfect_trip_description"
46,"What was the best trip you\'ve ever taken?","TRAVEL","most_memorable_trip"
47,"What was your worst travel experience?","TRAVEL","worst_trip_pain_points"
48,"What stresses you the most when traveling?","TRAVEL","stress_triggers_when_traveling"
49,"How do you typically feel after returning from a trip?","TRAVEL","post_trip_feelings"
50,"What activities or experiences do you enjoy most when traveling?","TRAVEL","favorite_travel_activities"
51,"How would you describe your personal style in 3 words?","SHOPPING","style_words"
52,"What colors do you wear most often?","SHOPPING","dominant_colors"
53,"What materials or fabrics do you prefer?","SHOPPING","preferred_materials"
54,"What materials or patterns do you avoid?","SHOPPING","avoided_textures_patterns"
55,"What design qualities do you look for in products?","SHOPPING","attractive_design_qualities"
56,"What brands feel like they represent you?","SHOPPING","product_feels_like_me"
57,"What or who inspires your style?","SHOPPING","visual_references"
58,"What are your clothing sizes (tops, bottoms, shoes)?","SHOPPING","sizes"
59,"What is your preferred fit (tight, fitted, regular, loose, oversized)?","SHOPPING","preferred_fit"
60,"What brands fit you particularly well?","SHOPPING","brands_fit_well"
